% mention
@RELATION men

@ATTRIBUTE m_type {N, PR, NULL}
@ATTRIBUTE m1_type {N, PR, NULL}
@ATTRIBUTE gn {MASC, FEM, NULL}
@ATTRIBUTE gn1 {MASC, FEM, NULL}
@ATTRIBUTE num1 {SING, PLUR}
@ATTRIBUTE num {SING, PLUR}
@ATTRIBUTE en {PERS, LOC, ORG, FUNC, NULL}
@ATTRIBUTE en1 {PERS, LOC, ORG, FUNC, NULL}
@ATTRIBUTE gp {CASE=YES, CASE=NO}
@ATTRIBUTE gp1 {CASE=YES, CASE=NO}
@ATTRIBUTE id_form {YES, NO}
@ATTRIBUTE subform {YES, NO}
@ATTRIBUTE inc_rate REAL
@ATTRIBUTE dis_men REAL
@ATTRIBUTE dis_phrase REAL
@ATTRIBUTE dis_char REAL

@DATA
PR,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,11,13,0,0
PR,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,60,14,0,0
PR,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,6,15,0,0
PR,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,29,16,0,0
PR,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,12,17,0,0
PR,PR,NULL,MASC,NULL,NULL,?,SING,CASE=NO,CASE=NO,NO,NO,18,18,0,0
PR,PR,NULL,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,9,19,0,0
PR,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,21,20,0,0
PR,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,36,21,0,0
PR,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,18,22,0,0
PR,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,10,23,0,0
PR,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,20,24,0,0
PR,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,10,25,0,0
PR,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,20,26,0,0
PR,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,22,27,0,0
PR,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,20,28,0,0
PR,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,20,29,0,0
PR,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,31,30,0,0
PR,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,40,31,0,0
PR,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,11,32,0,0
PR,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,13,33,0,0
PR,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,60,34,0,0
PR,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,13,35,0,0
PR,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,20,36,0,0
PR,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,33,37,0,0
PR,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,6,38,0,0
PR,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,19,39,0,0
PR,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,29,40,0,0
PR,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,60,41,0,0
PR,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,29,42,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,95,1,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,95,2,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,95,3,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,25,4,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,28,5,0,0
N,N,NULL,MASC,PERS,NULL,?,SING,CASE=NO,CASE=NO,NO,NO,18,6,0,0
N,N,MASC,MASC,FUNC,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,43,7,0,0
N,N,NULL,MASC,PERS,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,29,8,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,36,9,0,0
N,N,MASC,MASC,FUNC,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,43,10,0,0
N,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,20,11,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,39,12,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,33,13,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,14,14,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,23,15,0,0
N,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,25,16,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,28,17,0,0
N,PR,NULL,MASC,NULL,NULL,?,SING,CASE=NO,CASE=NO,NO,NO,21,18,0,0
N,PR,NULL,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,30,19,0,0
N,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,43,20,0,0
N,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,14,21,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,45,22,0,0
N,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,20,23,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,26,24,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,26,25,0,0
N,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,14,26,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,28,27,0,0
N,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,14,28,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,7,29,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,19,30,0,0
N,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,14,31,0,0
N,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,44,32,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,33,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,14,34,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,18,35,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,16,36,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,20,37,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,35,38,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,31,39,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,36,40,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,14,41,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,38,42,0,0
N,N,FEM,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,89,1,0,0
N,PR,FEM,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,89,2,0,0
N,N,FEM,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,95,3,0,0
N,N,FEM,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,89,4,0,0
N,N,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,29,5,0,0
N,N,NULL,FEM,PERS,NULL,?,SING,CASE=NO,CASE=NO,NO,NO,31,6,0,0
N,N,MASC,FEM,FUNC,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,45,7,0,0
N,N,NULL,FEM,PERS,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,26,8,0,0
N,N,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,32,9,0,0
N,N,MASC,FEM,FUNC,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,45,10,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,32,11,0,0
N,N,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,41,12,0,0
N,N,FEM,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,59,13,0,0
N,PR,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,16,14,0,0
N,N,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,33,15,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,21,16,0,0
N,N,FEM,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,38,17,0,0
N,PR,NULL,FEM,NULL,NULL,?,SING,CASE=NO,CASE=NO,NO,NO,23,18,0,0
N,PR,NULL,FEM,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,43,19,0,0
N,N,MASC,FEM,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,28,20,0,0
N,N,MASC,FEM,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,31,21,0,0
N,N,FEM,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,32,22,0,0
N,N,FEM,FEM,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,29,23,0,0
N,N,FEM,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,51,24,0,0
N,N,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,29,25,0,0
N,PR,NULL,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,32,26,0,0
N,N,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,36,27,0,0
N,PR,NULL,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,28,0,0
N,PR,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,29,0,0
N,PR,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,43,30,0,0
N,PR,NULL,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,31,0,0
N,N,MASC,FEM,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,30,32,0,0
N,PR,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,40,33,0,0
N,PR,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,16,34,0,0
N,N,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,27,35,0,0
N,PR,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,23,36,0,0
N,PR,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,22,37,0,0
N,N,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,41,38,0,0
N,N,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,39,39,0,0
N,PR,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,44,40,0,0
N,PR,MASC,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,41,0,0
N,N,FEM,FEM,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,41,42,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,95,1,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,95,2,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,95,3,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,95,4,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,95,5,0,0
N,N,NULL,MASC,PERS,NULL,?,SING,CASE=NO,CASE=NO,NO,NO,34,6,0,0
N,N,MASC,MASC,FUNC,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,30,7,0,0
N,N,NULL,MASC,PERS,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,24,8,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,9,0,0
N,N,MASC,MASC,FUNC,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,28,10,0,0
N,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,20,11,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,46,12,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,22,13,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,14,14,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,27,15,0,0
N,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,25,16,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,17,0,0
N,PR,NULL,MASC,NULL,NULL,?,SING,CASE=NO,CASE=NO,NO,NO,21,18,0,0
N,PR,NULL,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,40,19,0,0
N,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,30,20,0,0
N,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,34,21,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,40,22,0,0
N,N,FEM,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,24,23,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,26,24,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,47,25,0,0
N,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,21,26,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,33,27,0,0
N,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,21,28,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,21,29,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,39,30,0,0
N,PR,NULL,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,29,31,0,0
N,N,MASC,MASC,NULL,NULL,PLUR,SING,CASE=NO,CASE=NO,NO,NO,28,32,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,30,33,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,14,34,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,24,35,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,21,36,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,20,37,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,46,38,0,0
N,N,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,26,39,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,26,40,0,0
N,PR,MASC,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,14,41,0,0
N,N,FEM,MASC,NULL,NULL,SING,SING,CASE=NO,CASE=NO,NO,NO,31,42,0,0
N,N,NULL,MASC,PERS,PERS,?,SING,CASE=NO,CASE=NO,NO,NO,92,1,0,0
N,PR,NULL,MASC,PERS,PERS,?,SING,CASE=NO,CASE=NO,NO,NO,92,2,0,0
N,N,NULL,MASC,PERS,PERS,?,SING,CASE=NO,CASE=NO,NO,NO,92,3,0,0
N,N,NULL,MASC,PERS,PERS,?,SING,CASE=NO,CASE=NO,NO,NO,92,4,0,0
N,N,NULL,MASC,PERS,PERS,?,SING,CASE=NO,CASE=NO,NO,NO,85,5,0,0
N,N,NULL,MASC,PERS,PERS,?,SING,CASE=NO,CASE=NO,NO,NO,92,6,0,0
N,N,MASC,MASC,FUNC,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,26,7,0,0
N,N,NULL,MASC,PERS,PERS,PLUR,SING,CASE=NO,CASE=NO,NO,NO,35,8,0,0
N,N,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,32,9,0,0
N,N,MASC,MASC,FUNC,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,24,10,0,0
N,N,FEM,MASC,NULL,PERS,PLUR,SING,CASE=NO,CASE=NO,NO,NO,25,11,0,0
N,N,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,14,12,0,0
N,N,FEM,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,29,13,0,0
N,PR,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,32,14,0,0
N,N,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,14,15,0,0
N,N,FEM,MASC,NULL,PERS,PLUR,SING,CASE=NO,CASE=NO,NO,NO,35,16,0,0
N,N,FEM,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,29,17,0,0
N,PR,NULL,MASC,NULL,PERS,?,SING,CASE=NO,CASE=NO,NO,NO,30,18,0,0
N,PR,NULL,MASC,NULL,PERS,PLUR,SING,CASE=NO,CASE=NO,NO,NO,19,19,0,0
N,N,MASC,MASC,NULL,PERS,PLUR,SING,CASE=NO,CASE=NO,NO,NO,32,20,0,0
N,N,MASC,MASC,NULL,PERS,PLUR,SING,CASE=NO,CASE=NO,NO,NO,40,21,0,0
N,N,FEM,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,19,22,0,0
N,N,FEM,MASC,NULL,PERS,PLUR,SING,CASE=NO,CASE=NO,NO,NO,20,23,0,0
N,N,FEM,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,28,24,0,0
N,N,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,21,25,0,0
N,PR,NULL,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,42,26,0,0
N,N,MASC,MASC,NULL,PERS,SING,SING,CASE=NO,CASE=NO,NO,NO,22,27,0,0
